ROWS_SITE_ID,HYDRO_SITE_ID,HYDSTRA_SITE_ID,PARENT_ID,STORAGES_PARENT,SHORT_NAME,LONG_NAME,DATA_ENTRY,DATA_ENTRY_PARAMS,DATA_ENTRY_SEQ,OPS_REACH,OPS_REACH_SEQ,RATING,CAPACITY,PARAMS2HYDRO_OBS,PARAMS2HYDRO_FCST,PARAMS2HYDRO_CALC,TO_MDBC_OPS,DOWNSTREAM_SITE,FSL,FSV,SURL,SURV,OPT,OPC,OPT_SENSOR_2,LATITUDE,LONGITUDE,GAUGEZ,ELEVATION,CEASE_TO_FLOW,CATCHMENT,STATION_TYPE,MODEL_TYPE,EWSRC_ID,H_TIMESTEP,Q_TIMESTEP,V_TIMESTEP,DEAD_STORAGE,R_WEEKLY,R_FLOW_SAL,R_STORAGE,R_FLOW_LEVEL,R_RIVER_SAL,FL_MAJOR,FL_MODERATE,FL_MINOR,SMS_CMD,SMS_NO,V_H_HMAX,V_H_HMIN,V_H_SMAX,V_H_SMIN,V_H_ROR,V_H_ROF,V_H_SRD,V_H_SRT,V_Q_HMAX,V_Q_HMIN,V_Q_SMAX,V_Q_SMIN,V_Q_ROR,V_Q_ROF,V_Q_SRD,V_Q_SRT,V_WT_HMAX,V_WT_HMIN,V_WT_SMAX,V_WT_SMIN,V_WT_ROR,V_WT_ROF,V_WT_SRD,V_WT_SRT,V_AT_HMAX,V_AT_HMIN,V_AT_SMAX,V_AT_SMIN,V_AT_ROR,V_AT_ROF,V_AT_SRD,V_AT_SRT,V_EC_HMAX,V_EC_HMIN,V_EC_SMAXR,V_EC_SMIN,V_EC_ROR,V_EC_ROF,V_EC_SRD,V_EC_SRT,V_DO_HMAX,V_DO_HMIN,V_DO_SMAX,V_DO_SMIN,V_DO_ROR,V_DO_ROF,V_DO_SRD,V_DO_SRT,SO_H_MAX,SO_H_MIN,SO_H_WL1,SO_Q_MAX,SO_Q_MIN,SO_Q_WL1,H_OBS,Q_OBS,P_OBS,WT_OBS,AT_OBS,EC_OBS,DO_OBS,EVAP_OBS,pH_OBS,H_PREFERRED,Q_PREFERRED,P_PREFERRED,V_PREFERRED,EC_PREFERRED,WT_PREFERRED,AT_PREFERRED,DO_PREFERRED,EVAP_PREFERRED,pH_PREFERRED,THRESHOLD,SOURCE_PARAMS,SOURCE_SEQ,EWSRC_Q_SEQ,EWSRC_QORD_SEQ,EWSRC_H_SEQ,EWSRC_V_SEQ,EWSRC_P_SEQ,EWSRC_E_SEQ,EWSRC_EC_SEQ,FLOOD_OPS,FLOOD_OPS_PARAMS,DAILY_FLOOD
R_072162,,072162,,,KHANCOBAN AWS,KHANCOBAN AWS (CBM),,,,,,,,,,,,,,,,,,BOM,,-36.23040000,148.14050000,,339.300,,Upper Murray,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,Hume,P_obs;,
R_072169,,072169,,,Courabyra Rainfall,COURABYRA TBRG AT COURABYRA ROAD,,,,,,,,,,,,,,,,,,,,-35.71078480,148.00237641,,700.000,,Murrumbidgee,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,OPT,,,,,,,,,,,,,,,,,,Hume,P_obs;,
R_074034,,074034,,,COROWA AIRPORT,COROWA AIRPORT (CBM),,,,,,,,,,,,,,,,,,BOM,,-35.98870000,146.35740000,,143.000,,Mid Murray,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_074106,,074106,,,TOCUMWAL AIRPORT,TOCUMWAL AIRPORT (CBM),,,,,,,,,,,,,,,,,,BOM,,-35.82510000,145.59130000,,-5.084,,,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_074128,DENIMET,074128,,,Deniliquin Post Office,Deniliquin Post Office,Deniliquin,EVAP;P;EVAP.fao56;EVAP.mlake;,DEN_11,,,,,P;EVAP;EVAP.fao56;EVAP.mlake;,,,Deniliquin,,,,,,,SILO,,-35.55100000,144.94690000,0.000,0.000,,Murray,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,108,,,,,EWS_OP_037,EWS_OE_037,,,,
R_074258,DENILQ,074258,,,DENILIQUIN AIRPORT,DENILIQUIN AIRPORT AWS (CBM),Deniliquin,P;,DEN_10,,,,,P;,,,,,,,,,,BOM,,-35.55750000,144.94580000,,-0.860,,Murray,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_076031,MILDMET,076031,,,MILDURA AIRPORT,MILDURA AIRPORT,Mildura,P;EVAP;EVAP.fao56;EVAP.mlake;,MIL_03,,,,,P;EVAP;EVAP.fao56;EVAP.mlake;,,,Mildura,,,,,,,BOM;SILO,,-34.22910000,142.08520000,,43.715,,Lower Murray,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,109,,,,,EWS_OP_043,EWS_OE_043,,,,
R_077094,SWANMET,077094,,,SWANHILL AERO,SWAN HILL AERODROME (CBM),Torrumbarry,P;EVAP;EVAP.fao56;EVAP.mlake;,TOR_09,,,,,P;EVAP;EVAP.fao56;EVAP.mlake;,,,torrumbarry,,,,,,,BOM;SILO,,-35.39520000,143.54130000,,-7.084,,Mid Murray,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,110,,,,,EWS_OP_044,EWS_OE_044,,,,
R_079100,,079100,,,HORSHAM AERO,HORSHAM AERODROME (CBM),,,,,,,,,,,,,,,,,,BOM,,-36.66850000,142.17130000,,-12.604,,Mid Murray,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_080015,,080015,,,ECHUCA AERODROME,ECHUCA AERODROME (CBM),,,,,,,,,,,,,,,,,,BOM,,-36.16850000,144.77800000,,96.000,,Mid Murray,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_080023,KERAMET,080023,,,KERANG POST OFFICE,KERANG POST OFFICE (CBM),Tatura,P;EVAP;EVAP.fao56;EVAP.mlake;,TAT_04,,,,,P;EVAP;EVAP.fao56;EVAP.mlake;,,,Tatura,,,,,,,BOM;SILO,,-35.71850000,143.92130000,,-7.358,,Mid Murray,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,111,,,,,EWS_OP_038,EWS_OE_038,,,,
R_081057,YARRAPO,081057,,,Yarrawonga Post Office,Yarrawonga Post Office (CBM),Yarrawonga,P;EVAP;EVAP.fao56;EVAP.mlake;,YAR_03,,,,,P;EVAP;EVAP.fao56;EVAP.mlake;,,,yarrawonga,,,,,,,SILO,,-36.04510000,146.00130000,0.000,0.000,,Murray,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,112,,,,,EWS_OP_047,EWS_OE_047,,,,
R_081087,,081087,,,BUNGEET (HIGHLANDS),BUNGEET (HIGHLANDS),,,,,,,,,,,,,,,,,,BOM,,-36.25670000,146.04330000,,0.000,,Goulburn-Broken,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_081124,,081124,,,YARRAWONGA (CBM),YARRAWONGA (CBM),,,,,,,,,,,,,,,,,,BOM,,-36.02940000,146.03060000,,128.900,,Murray,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_081125,,081125,,,SHEPPARTON AIRPORT,SHEPPARTON AIRPORT (CBM),,,,,,,,,,,,,,,,,,BOM,,-36.44510000,145.39130000,,-7.065,,Goulburn-Broken,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_082039,,082039,,,RUTHERGLEN RESEARCH,RUTHERGLEN RESEARCH,Rainfall Runoff Model,,,,,,,,,,,,,,,,,BOM,,-36.10490000,146.50960000,,163.141,,Murray,Meteo,TSM_E;TSM_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPC,OPT,OPC,,,,,,,,,,,,,,
R_082076,DARTMET,082076,,,Dartmouth Met Station,DARTMOUTH RESERVOIR,Dartmouth,P;EVAP;EVAP.fao56;EVAP.mlake;,DAR_11,ST_FLOOD;,ST_03;,,,P;EVAP;EVAP.fao56;EVAP.mlake;,EVAP.net,,dartmouth,,,,,,,BOM;SILO,,-36.56200000,147.52100000,,345.832,,Upper Murray,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,113,,,,,EWS_OP_001,EWS_OE_001,,Dartmouth;Hume,P_obs_acc;,P
R_082138,,082138,,,WANGARATTA AERO,WANGARATTA AERO (CBM),,,,,,,,,,,,,,,,,,BOM,,-36.41850000,146.32790000,,-5.585,,Ovens,Meteo,TSM_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
